term,contrast,age_class_stand,weight_class_kg_stand,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted_lo,predicted_hi,predicted
sex,mean(M) - mean(F),18-,52-,39.29988187820929,4.673213242179174,8.409605948108478,4.1139047578115565e-17,54.43226921908218,30.140552231462454,48.45921152495613,145.7516621696281,185.05154404783738,145.7516621696281
sex,mean(M) - mean(F),18-,52-60,40.77831964692035,2.9370636097192,13.884043747632346,7.914963612045379e-44,143.18025345725792,35.02178075156752,46.534858542273184,161.75379917050472,202.53211881742507,161.75379917050472
sex,mean(M) - mean(F),18-,61-68,56.677661180474125,3.4465195198890544,16.44489777394286,9.123819158789405e-61,199.4479759365364,49.9226070494773,63.43271531147095,174.44094665850676,231.1186078389809,231.1186078389809
sex,mean(M) - mean(F),18-,69-76,61.48074804829065,3.7608937148231285,16.347377168881795,4.541098694451604e-60,197.1326443011726,54.10953181755427,68.85196427902703,165.07052924180755,226.5512772900982,226.5512772900982
sex,mean(M) - mean(F),18-,77-84,71.42409062412005,4.189739916233586,17.047380518151005,3.6555259462402114e-65,214.05524717587994,63.212351283712366,79.63582996452774,191.13526264918696,262.559353273307,191.13526264918696
sex,mean(M) - mean(F),18-,85-90,75.85803891246408,6.294932532853554,12.050651618036785,1.9242269279984037e-33,108.67934818217894,63.520197862961616,88.19587996196654,195.28512333227235,271.14316224473646,195.28512333227235
sex,mean(M) - mean(F),18-,90+,67.48678445316074,4.287731635251952,15.739507551804868,8.107213660833212e-56,183.00876714874428,59.082984872693885,75.89058403362759,219.98803286770985,287.4748173208706,287.4748173208706
sex,mean(M) - mean(F),18-19,52-,46.05584658635024,8.002111020876713,5.755462085716521,8.640511387465973e-9,26.786236153365095,30.37199718514084,61.73969598755964,155.8898432624897,201.94568984883995,155.8898432624897
sex,mean(M) - mean(F),18-19,52-60,54.84355810104474,5.5245522082061145,9.927240441239865,3.169044481949563e-23,74.74029827231442,44.01563474224953,65.67148145983995,174.07571689734547,228.91927499839022,174.07571689734547
sex,mean(M) - mean(F),18-19,61-68,65.8566053809192,6.230608192710807,10.569851825695748,4.1114371537430295e-26,84.3304876906434,53.64483772142583,78.06837304041258,173.4466522164116,239.3032575973308,239.3032575973308
sex,mean(M) - mean(F),18-19,69-76,59.67576917369495,6.2718132999238545,9.514914797355251,1.8186186309686032e-21,68.89764695481036,47.38324098808489,71.96829735930501,203.85387039662163,263.5296395703166,263.5296395703166
sex,mean(M) - mean(F),18-19,77-84,74.33336485680637,7.024411463944854,10.58214844593704,3.6059339524303517e-26,84.519757494975,60.56577137488418,88.10095833872856,212.22314488399022,286.55650974079657,212.22314488399022
sex,mean(M) - mean(F),18-19,85-90,71.39676794262374,10.920827666266518,6.537670048870207,6.248458312271541e-11,33.89770876752314,49.99233903537276,92.80119684987471,190.34998856980025,261.746756512424,261.746756512424
sex,mean(M) - mean(F),18-19,90+,86.89590104919054,7.487450625960371,11.605539106716304,3.862457095460398e-31,101.03025203399551,72.22076748628633,101.57103461209475,224.82992650470902,311.72582755389953,311.72582755389953
sex,mean(M) - mean(F),20-23,52-,46.32794185682184,3.997818161484431,11.588306417523452,4.723803739504826e-31,100.73982191536862,38.492362243572224,54.16352147007145,160.68848464903252,207.01642650585435,160.68848464903252
sex,mean(M) - mean(F),20-23,52-60,47.52651817894702,2.36417909240153,20.10275716069786,6.980551499044572e-90,296.1701875186847,42.892812304837435,52.16022405305661,179.29022947194076,226.81674765088778,226.81674765088778
sex,mean(M) - mean(F),20-23,61-68,63.51136356863796,2.691813028287618,23.59427007047379,4.41316791952958e-123,406.45534102873455,58.23550698007853,68.78722015719738,195.55645634820866,259.06781991684664,195.55645634820866
sex,mean(M) - mean(F),20-23,69-76,69.38220991651872,2.725674344712064,25.455062176126603,6.204840574584104e-143,472.40232342625865,64.03998636729827,74.72443346573917,224.83317133673577,294.2153812532545,294.2153812532545
sex,mean(M) - mean(F),20-23,77-84,77.05947480304103,3.0743326955099466,25.065431244831164,1.1852511664311202e-138,458.1808842816038,71.0338934433476,83.08505616273446,219.67104474096487,296.73051954400586,219.67104474096487
sex,mean(M) - mean(F),20-23,85-90,84.61552364707102,4.500738461969192,18.80036450952751,7.499920365396703e-79,259.52544421903406,75.7942383577772,93.43680893636483,220.47331564763306,305.0888392947041,305.0888392947041
sex,mean(M) - mean(F),20-23,90+,97.14205118121573,3.3051368884159196,29.39123384622469,7.107937154465064e-190,628.3369071029078,90.66410191594575,103.62000044648572,257.97047805017536,355.1125292313911,257.97047805017536
sex,mean(M) - mean(F),24-29,52-,43.544301822166176,5.909778823168476,7.368177917497813,1.7297584254468525e-13,42.394494665468734,31.96134817215846,55.12725547217389,164.1315575806099,207.67585940277607,164.1315575806099
sex,mean(M) - mean(F),24-29,52-60,45.89732333087315,3.003842094871401,15.279539297100795,1.046781167678404e-52,172.67430105949845,40.00990100967986,51.78474565206644,181.5510061592983,227.44832949017146,181.5510061592983
sex,mean(M) - mean(F),24-29,61-68,65.21870340819848,3.2826918532307134,19.86744608514273,7.786486405319766e-88,289.36869988048306,58.784745603523234,71.65266121287372,214.11715700933934,279.33586041753784,279.33586041753784
sex,mean(M) - mean(F),24-29,69-76,70.71694312570536,3.235944937121659,21.853568123012433,7.189066963651882e-106,349.2785735160829,64.37460759299218,77.05927865841853,210.40105801259728,281.11800113830265,210.40105801259728
sex,mean(M) - mean(F),24-29,77-84,87.1412846202947,3.444840868001937,25.2961712773798,3.519631746123532e-141,466.57643688941283,80.3895205865392,93.89304865405019,214.76917856485264,301.91046318514736,214.76917856485264
sex,mean(M) - mean(F),24-29,85-90,94.24722860453039,5.065861765418411,18.60438222927824,2.9608488921369757e-77,254.222452442332,84.31832199365181,104.17613521540898,218.17757116176355,312.4247997662939,218.17757116176355
sex,mean(M) - mean(F),24-29,90+,96.14703725922215,3.492464304270804,27.52985539226486,7.712666892024874e-167,551.8147620435558,89.30193300555963,102.99214151288466,252.27210977400705,348.4191470332292,348.4191470332292
sex,mean(M) - mean(F),30-34,52-,51.50334887215134,7.265577605280535,7.088679203525309,1.3539797279006903e-12,39.42593099993934,37.26307843892072,65.74361930538196,156.9440693013214,208.44741817347273,156.9440693013214
sex,mean(M) - mean(F),30-34,52-60,63.355083125428905,3.749385841478548,16.897456224576025,4.697384636508627e-64,210.37154034198792,56.00642191198655,70.70374433887126,174.5747967957548,237.92987992118367,174.5747967957548
sex,mean(M) - mean(F),30-34,61-68,59.43975404016129,4.6241811811037685,12.854114428529662,8.155447260421876e-38,123.20550360644066,50.376525467210016,68.50298261311256,215.53032528053023,274.9700793206916,274.9700793206916
sex,mean(M) - mean(F),30-34,69-76,78.34896828463869,4.342233873175667,18.043470382524244,8.878889707265272e-73,239.35037164591947,69.83834628076451,86.85959028851286,203.29425605723702,281.64322434187574,203.29425605723702
sex,mean(M) - mean(F),30-34,77-84,84.6277045023033,4.788766349178606,17.672130634817687,6.875050174329703e-70,229.75359639971907,75.24189492753588,94.01351407707072,211.91911981432406,296.54682431662735,211.91911981432406
sex,mean(M) - mean(F),30-34,85-90,82.82319383531572,7.622140986229006,10.86613249281969,1.6713648132783585e-27,88.95103189327342,67.88407201722026,97.76231565341118,242.92949973039558,325.75269356571124,325.75269356571124
sex,mean(M) - mean(F),30-34,90+,106.41201254638557,4.325502126992186,24.601077382981437,1.230088398290346e-133,441.5176746238103,97.93418416242949,114.88984093034165,243.86364015491299,350.27565270129855,350.27565270129855
sex,mean(M) - mean(F),35-39,52-,50.7129959520741,8.206697404331088,6.179464582830883,6.431936095202925e-10,30.534027876248548,34.62816460756683,66.79782729658137,153.981814001088,204.6948099531621,153.981814001088
sex,mean(M) - mean(F),35-39,52-60,60.14771247002445,4.550763105236934,13.217060760822196,6.994412441912586e-40,130.07092092505823,51.2283806815864,69.0670442584625,166.93292006260938,227.08063253263384,227.08063253263384
sex,mean(M) - mean(F),35-39,61-68,63.33728327270525,5.015983032681465,12.62709280713937,1.4970769353525867e-36,119.00726305199723,53.506137181585586,73.16842936382491,211.92940803643415,275.26669130913945,275.26669130913945
sex,mean(M) - mean(F),35-39,69-76,81.69894567461968,5.908299684704279,13.827826961135074,1.7317322313941995e-43,142.05069220915925,70.11889108272995,93.27900026650941,198.7841949239894,280.48314059860905,198.7841949239894
sex,mean(M) - mean(F),35-39,77-84,79.25212510253162,5.951849925723817,13.315544929989747,1.879957536500897e-40,131.96642372006576,67.58671360672555,90.91753659833769,213.4572246570019,292.7093497595335,292.7093497595335
sex,mean(M) - mean(F),35-39,85-90,79.59327611340804,8.81506398220559,9.029234078626988,1.728775143695688e-19,62.32688356844939,62.31606818686886,96.87048403994721,218.87822295639876,298.47149906980684,298.47149906980684
sex,mean(M) - mean(F),35-39,90+,104.54132188816709,5.220159385151072,20.026461679606676,3.2386795338794156e-89,293.95619472391104,94.30999749971224,114.77264627662194,236.74029361160348,341.2816154997705,341.2816154997705
sex,mean(M) - mean(F),40-44,52-,40.85596490372289,6.817284938427394,5.992996518808779,2.0600926322967112e-9,28.854643644174626,27.49433195205784,54.21759785538794,154.32266100100347,195.17862590472637,154.32266100100347
sex,mean(M) - mean(F),40-44,52-60,40.24480167986174,3.572330869484255,11.265698265421861,1.9380946344018494e-29,95.38127573451563,33.24316183481194,47.24644152491153,169.83978508256124,210.08458676242296,169.83978508256124
sex,mean(M) - mean(F),40-44,61-68,63.99621821598043,4.004373573323101,15.981580400569875,1.717360308169884e-57,188.5697086550424,56.14779023162319,71.84464620033766,184.69567720867153,248.69189542465193,184.69567720867153
sex,mean(M) - mean(F),40-44,69-76,71.30593415655548,3.718008819919368,19.17852743504301,5.594238219195471e-82,269.91416209142324,64.01877077531125,78.59309753779971,197.70001252772278,269.0059466842783,197.70001252772278
sex,mean(M) - mean(F),40-44,77-84,77.75516316073148,3.900891802587945,19.932663374346053,2.1197564416283518e-88,291.2457738403187,70.10955572007158,85.40077060139139,205.5670571119555,283.322220272687,283.322220272687
