iso_code,continent,location,last_updated_date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2022-12-03,206145,7834,5012.185,190.475,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12275911,11292816,10587076,NA,29.85,27.46,25.74,NA,2.78,54.422,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,0.511,41128772,NA,NA,NA,NA
OWID_AFR,NA,Africa,2022-12-03,12430618,257231,8712.623,180.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,691890421,452068342,364659477,58534229,48.49,31.69,25.56,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426736614,NA,NA,NA,NA
ALB,Europe,Albania,2022-12-03,333391,3594,117295.461,1264.461,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,2842318,NA,NA,NA,NA
DZA,Africa,Algeria,2022-12-03,271102,6881,6037.472,153.241,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228,NA,NA,NA,NA
AND,Europe,Andorra,2022-12-03,47219,157,591398.119,1966.359,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.868,79843,NA,NA,NA,NA
AGO,Africa,Angola,2022-12-03,104676,1924,2941.246,54.062,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23229526,14220830,7814121,1127156,65.27,39.96,21.96,3.17,22.65,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581,35588996,NA,NA,NA,NA
AIA,North America,Anguilla,2022-12-03,3904,12,245890.282,755.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24441,10852,10373,NA,153.94,68.35,65.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.88,NA,15877,NA,NA,NA,NA
ATG,North America,Antigua and Barbuda,2022-12-03,9106,146,97107.879,1556.968,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.845,32.1,6.933,4.631,21490.943,NA,191.511,13.17,NA,NA,NA,3.8,77.02,0.778,93772,NA,NA,NA,NA
ARG,South America,Argentina,2022-12-03,9727247,130025,213737.151,2857.044,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110598035,41375117,37877606,31667238,243.02,90.91,83.23,69.58,NA,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,0.845,45510324,NA,NA,NA,NA
ARM,Asia,Armenia,2022-12-03,445737,8710,160309.832,3132.562,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472,NA,NA,NA,NA
