weight_class_kg_stand,age_class_stand,sex,frequency
85-90,55-59,F,7
52-,60+,M,11
52-,55-59,M,12
85-90,60+,F,15
52-,45-49,M,17
85-90,18-19,F,17
52-,50-54,M,24
52-,18-19,M,25
52-,35-39,M,26
85-90,45-49,F,28
90+,60+,F,28
85-90,50-54,F,29
90+,55-59,F,31
85-90,35-39,F,32
90+,18-19,F,32
52-,40-44,M,33
85-90,18-19,M,34
85-90,30-34,F,34
85-90,40-44,F,39
69-76,55-59,F,44
52-,30-34,M,46
77-84,60+,F,46
77-84,18-19,F,49
85-90,18-,F,50
77-84,55-59,F,53
77-84,18-19,M,62
69-76,18-19,M,64
69-76,60+,F,65
77-84,50-54,F,65
69-76,18-19,F,67
69-76,35-39,F,70
85-90,55-59,M,71
90+,50-54,F,71
61-68,18-19,F,74
61-68,18-19,M,74
90+,45-49,F,75
61-68,55-59,F,76
77-84,35-39,F,76
85-90,20-23,F,79
90+,35-39,F,79
52-,18-,M,80
52-,24-29,M,80
85-90,24-29,F,86
61-68,55-59,M,87
52-60,18-19,F,90
90+,18-,F,90
52-60,55-59,F,91
52-,55-59,F,93
52-,20-23,M,94
52-60,18-19,M,95
52-60,55-59,M,95
90+,30-34,F,97
77-84,30-34,F,104
85-90,18-,M,106
77-84,45-49,F,107
90+,40-44,F,114
52-60,60+,F,115
61-68,60+,F,117
69-76,55-59,M,119
77-84,18-,F,120
61-68,35-39,M,122
69-76,45-49,F,122
77-84,55-59,M,122
90+,18-19,M,129
90+,20-23,F,130
90+,24-29,F,132
85-90,35-39,M,135
85-90,45-49,M,137
52-,18-19,F,139
69-76,50-54,F,144
61-68,35-39,F,145
69-76,30-34,F,145
52-60,45-49,M,149
52-60,50-54,M,149
61-68,50-54,F,149
69-76,35-39,M,151
61-68,45-49,F,152
52-60,35-39,M,153
77-84,40-44,F,153
61-68,30-34,F,155
52-60,50-54,F,165
52-,60+,F,166
61-68,45-49,M,168
69-76,18-,F,169
85-90,30-34,M,169
52-,50-54,F,177
69-76,40-44,F,180
77-84,35-39,M,181
61-68,30-34,M,183
77-84,24-29,F,187
61-68,40-44,F,190
85-90,60+,M,193
61-68,50-54,M,196
77-84,20-23,F,196
85-90,50-54,M,199
52-,45-49,F,201
85-90,24-29,M,205
52-60,35-39,F,208
52-60,60+,M,213
61-68,40-44,M,214
69-76,45-49,M,215
77-84,45-49,M,218
52-60,30-34,M,221
52-60,45-49,F,222
52-60,40-44,M,233
77-84,18-,M,235
61-68,18-,M,239
61-68,18-,F,244
85-90,40-44,M,246
52-,35-39,F,248
61-68,60+,M,256
69-76,30-34,M,257
69-76,50-54,M,258
69-76,18-,M,259
77-84,30-34,M,270
61-68,24-29,M,276
52-60,40-44,F,277
69-76,20-23,F,277
52-60,30-34,F,279
69-76,24-29,F,294
77-84,50-54,M,309
69-76,24-29,M,311
69-76,40-44,M,311
52-60,18-,F,312
61-68,24-29,F,312
52-,40-44,F,315
69-76,60+,M,317
85-90,20-23,M,317
52-,30-34,F,327
61-68,20-23,F,332
52-60,18-,M,338
52-60,24-29,M,340
77-84,60+,M,349
52-,24-29,F,355
77-84,24-29,M,364
77-84,40-44,M,372
90+,55-59,M,376
52-60,24-29,F,400
61-68,20-23,M,417
52-60,20-23,F,443
52-,18-,F,456
52-,20-23,F,504
52-60,20-23,M,510
69-76,20-23,M,528
77-84,20-23,M,542
90+,18-,M,554
90+,35-39,M,706
90+,45-49,M,741
90+,60+,M,863
90+,50-54,M,908
90+,30-34,M,1001
90+,40-44,M,1281
90+,24-29,M,1288
90+,20-23,M,1494
